time,temp,humidity,wind,direction
2021-07-15 00:00:00,13.1,84.0,16.9,275.0
2021-07-15 00:05:00,13.2,84.0,15.3,270.0
2021-07-15 00:10:00,13.2,84.0,12.0,295.0
2021-07-15 00:15:00,13.3,84.0,22.4,290.0
2021-07-15 00:20:00,13.3,84.0,22.2,260.0
2021-07-15 00:25:00,13.3,84.0,19.6,255.0
2021-07-15 00:30:00,13.3,84.0,19.2,250.0
2021-07-15 00:34:00,13.3,84.0,29.9,285.0
2021-07-15 00:39:00,13.4,84.0,17.5,290.0
2021-07-15 00:45:00,13.3,84.0,18.3,255.0
2021-07-15 00:50:00,13.3,84.0,20.3,285.0
2021-07-15 00:55:00,13.2,84.0,16.6,275.0
2021-07-15 01:00:00,13.2,84.0,16.6,275.0
2021-07-15 01:05:00,13.1,84.0,17.3,275.0
2021-07-15 01:10:00,13.1,84.0,21.2,245.0
2021-07-15 01:15:00,13.1,84.0,25.9,260.0
2021-07-15 01:20:00,13.2,84.0,18.3,275.0
2021-07-15 01:25:00,13.1,84.0,21.6,285.0
2021-07-15 01:30:00,13.2,84.0,19.0,285.0
2021-07-15 01:35:00,13.3,84.0,30.0,275.0
2021-07-15 01:40:00,13.3,84.0,32.0,265.0
2021-07-15 01:45:00,13.4,84.0,21.8,280.0
2021-07-15 01:49:00,13.4,84.0,23.3,250.0
2021-07-15 01:55:00,13.4,84.0,18.1,220.0
2021-07-15 02:00:00,13.4,84.0,18.8,270.0
2021-07-15 02:05:00,13.4,84.0,26.3,280.0
2021-07-15 02:10:00,13.4,84.0,19.2,300.0
2021-07-15 02:15:00,13.4,84.0,29.5,230.0
2021-07-15 02:20:00,13.4,84.0,21.2,285.0
2021-07-15 02:25:00,13.4,84.0,19.5,300.0
2021-07-15 02:30:00,13.4,84.0,19.0,285.0
2021-07-15 02:35:00,13.4,84.0,14.0,250.0
2021-07-15 02:40:00,13.4,84.0,9.9,195.0
2021-07-15 02:45:00,13.4,84.0,12.1,185.0
2021-07-15 02:50:00,13.3,84.0,5.1,245.0
2021-07-15 02:55:00,13.3,84.0,9.6,285.0
2021-07-15 02:59:00,13.3,85.0,17.2,260.0
2021-07-15 03:05:00,13.3,85.0,11.8,165.0
2021-07-15 03:10:00,13.3,85.0,19.8,235.0
2021-07-15 03:15:00,13.3,85.0,19.8,235.0
2021-07-15 03:20:00,13.3,85.0,13.0,225.0
2021-07-15 03:25:00,13.3,85.0,12.7,275.0
2021-07-15 03:30:00,13.2,85.0,16.1,225.0
2021-07-15 03:35:00,13.2,85.0,11.3,220.0
2021-07-15 03:40:00,13.2,85.0,18.8,280.0
2021-07-15 03:45:00,13.3,85.0,10.7,260.0
2021-07-15 03:50:00,13.3,85.0,16.6,230.0
2021-07-15 03:55:00,13.3,85.0,19.0,200.0
2021-07-15 04:00:00,13.3,85.0,14.4,215.0
2021-07-15 04:05:00,13.3,85.0,17.9,190.0
2021-07-15 04:09:00,13.4,85.0,15.1,260.0
2021-07-15 04:15:00,13.4,85.0,13.4,245.0
2021-07-15 04:20:00,13.3,85.0,16.5,255.0
2021-07-15 04:25:00,13.4,85.0,17.9,265.0
2021-07-15 04:30:00,13.3,85.0,15.6,275.0
2021-07-15 04:35:00,13.4,85.0,11.6,260.0
2021-07-15 04:40:00,13.3,84.0,14.3,265.0
2021-07-15 04:45:00,13.4,84.0,23.1,230.0
2021-07-15 04:50:00,13.4,84.0,15.7,270.0
2021-07-15 04:55:00,13.4,84.0,15.7,265.0
2021-07-15 05:00:00,13.4,84.0,27.0,240.0
2021-07-15 05:04:00,13.4,84.0,25.1,265.0
2021-07-15 05:09:00,13.4,84.0,20.3,270.0
2021-07-15 05:15:00,13.4,84.0,19.4,285.0
2021-07-15 05:20:00,13.4,84.0,22.1,270.0
2021-07-15 05:25:00,13.4,84.0,15.5,270.0
2021-07-15 05:30:00,13.3,84.0,17.0,255.0
2021-07-15 05:35:00,13.3,84.0,20.3,280.0
2021-07-15 05:40:00,13.3,84.0,17.9,285.0
2021-07-15 05:45:00,13.3,84.0,16.5,280.0
2021-07-15 05:50:00,13.3,84.0,14.4,210.0
2021-07-15 05:55:00,13.3,84.0,15.6,250.0
2021-07-15 06:00:00,13.3,85.0,14.6,285.0
2021-07-15 06:05:00,13.2,85.0,12.5,285.0
2021-07-15 06:09:00,13.2,85.0,15.7,275.0
2021-07-15 06:15:00,13.1,85.0,15.5,280.0
2021-07-15 06:20:00,13.1,85.0,18.8,280.0
2021-07-15 06:25:00,13.0,85.0,17.8,285.0
2021-07-15 06:30:00,13.0,86.0,16.6,285.0
2021-07-15 06:35:00,12.9,86.0,19.8,275.0
2021-07-15 06:40:00,12.9,86.0,16.4,285.0
2021-07-15 06:45:00,12.9,86.0,19.5,295.0
2021-07-15 06:50:00,12.9,86.0,14.3,270.0
2021-07-15 06:55:00,12.9,86.0,14.7,280.0
2021-07-15 07:00:00,12.9,86.0,20.5,285.0
2021-07-15 07:05:00,12.9,86.0,17.5,285.0
2021-07-15 07:10:00,12.9,86.0,15.3,290.0
2021-07-15 07:15:00,12.9,86.0,16.4,290.0
2021-07-15 07:20:00,12.9,86.0,20.1,285.0
2021-07-15 07:24:00,12.9,86.0,20.9,290.0
2021-07-15 07:30:00,12.9,86.0,14.9,270.0
2021-07-15 07:35:00,12.9,86.0,15.1,285.0
2021-07-15 07:40:00,12.8,86.0,14.7,290.0
2021-07-15 07:45:00,12.8,87.0,13.9,295.0
2021-07-15 07:50:00,12.8,87.0,19.5,285.0
2021-07-15 07:55:00,12.9,87.0,12.5,265.0
2021-07-15 08:00:00,12.9,86.0,17.8,285.0
2021-07-15 08:05:00,12.9,86.0,14.0,285.0
2021-07-15 08:10:00,12.9,86.0,13.3,275.0
2021-07-15 08:15:00,13.0,86.0,17.7,285.0
2021-07-15 08:19:00,13.1,86.0,20.5,285.0
2021-07-15 08:25:00,13.1,86.0,14.7,295.0
2021-07-15 08:30:00,13.2,85.0,19.2,285.0
2021-07-15 08:35:00,13.2,85.0,13.8,265.0
2021-07-15 08:40:00,13.2,85.0,12.5,295.0
2021-07-15 08:45:00,13.3,85.0,12.1,280.0
2021-07-15 08:50:00,13.2,85.0,15.6,300.0
2021-07-15 08:55:00,13.2,85.0,11.8,295.0
2021-07-15 09:00:00,13.2,85.0,10.0,285.0
2021-07-15 09:05:00,13.3,85.0,8.8,280.0
2021-07-15 09:10:00,13.4,85.0,14.4,290.0
2021-07-15 09:14:00,13.4,85.0,20.1,295.0
2021-07-15 09:19:00,13.5,85.0,13.0,295.0
2021-07-15 09:25:00,13.5,85.0,9.6,290.0
2021-07-15 09:30:00,13.7,85.0,13.4,285.0
2021-07-15 09:35:00,13.9,84.0,20.1,285.0
2021-07-15 09:40:00,13.8,84.0,19.4,290.0
2021-07-15 09:45:00,14.1,84.0,16.9,295.0
2021-07-15 09:50:00,14.2,84.0,16.5,285.0
2021-07-15 09:55:00,14.7,82.0,20.5,295.0
2021-07-15 10:00:00,14.8,82.0,17.3,275.0
2021-07-15 10:05:00,14.9,81.0,17.8,285.0
2021-07-15 10:10:00,15.2,80.0,23.1,285.0
2021-07-15 10:15:00,15.4,80.0,17.0,285.0
2021-07-15 10:20:00,15.4,80.0,14.9,270.0
2021-07-15 10:24:00,15.4,80.0,15.3,275.0
2021-07-15 10:29:00,15.3,79.0,18.2,280.0
2021-07-15 10:30:00,15.3,79.0,18.2,280.0
2021-07-15 10:35:00,15.3,79.0,22.6,270.0
2021-07-15 10:40:00,15.3,79.0,18.3,260.0
2021-07-15 10:45:00,16.0,77.0,17.5,275.0
2021-07-15 10:50:00,16.0,77.0,20.3,280.0
2021-07-15 10:55:00,15.9,77.0,20.8,285.0
2021-07-15 11:00:00,15.6,78.0,17.7,285.0
2021-07-15 11:05:00,15.6,78.0,13.8,285.0
2021-07-15 11:10:00,15.8,78.0,16.6,280.0
2021-07-15 11:15:00,16.1,77.0,14.0,295.0
2021-07-15 11:19:00,16.4,76.0,12.3,300.0
2021-07-15 11:24:00,16.3,76.0,18.8,285.0
2021-07-15 11:30:00,16.4,76.0,9.5,280.0
2021-07-15 11:35:00,16.3,76.0,14.8,285.0
2021-07-15 11:40:00,16.2,77.0,17.7,285.0
2021-07-15 11:45:00,16.6,74.0,19.4,265.0
2021-07-15 11:50:00,17.3,73.0,31.3,280.0
2021-07-15 11:55:00,17.4,70.0,28.3,285.0
2021-07-15 12:00:00,17.3,71.0,25.1,270.0
2021-07-15 12:05:00,17.3,71.0,27.9,285.0
2021-07-15 12:10:00,17.4,71.0,29.1,275.0
2021-07-15 12:15:00,17.1,71.0,26.0,290.0
2021-07-15 12:19:00,17.0,72.0,28.1,275.0
2021-07-15 12:24:00,17.0,72.0,27.3,280.0
2021-07-15 12:30:00,17.3,72.0,24.2,285.0
2021-07-15 12:35:00,17.3,71.0,31.6,270.0
2021-07-15 12:40:00,17.3,71.0,29.0,280.0
2021-07-15 12:45:00,17.2,71.0,29.2,290.0
2021-07-15 12:50:00,17.2,72.0,25.5,280.0
2021-07-15 12:55:00,17.2,72.0,33.1,275.0
2021-07-15 13:00:00,17.1,72.0,25.3,285.0
2021-07-15 13:05:00,17.0,72.0,27.0,290.0
2021-07-15 13:10:00,17.1,72.0,35.2,275.0
2021-07-15 13:15:00,17.0,72.0,23.5,285.0
2021-07-15 13:20:00,17.0,71.0,32.2,285.0
2021-07-15 13:25:00,17.0,72.0,23.5,255.0
2021-07-15 13:30:00,17.0,72.0,21.6,285.0
2021-07-15 13:35:00,17.0,72.0,18.8,290.0
2021-07-15 13:40:00,17.0,72.0,14.8,260.0
2021-07-15 13:45:00,17.0,71.0,21.4,260.0
2021-07-15 13:50:00,17.0,72.0,11.4,235.0
2021-07-15 13:55:00,17.0,72.0,4.7,270.0
2021-07-15 13:59:00,17.0,72.0,22.2,235.0
2021-07-15 14:04:00,17.1,72.0,12.7,235.0
2021-07-15 14:10:00,17.1,72.0,18.3,285.0
2021-07-15 14:15:00,17.1,71.0,16.9,270.0
2021-07-15 14:20:00,17.1,71.0,17.5,215.0
2021-07-15 14:25:00,17.1,71.0,21.2,225.0
2021-07-15 14:30:00,17.1,71.0,20.3,265.0
2021-07-15 14:30:00,17.1,71.0,20.3,265.0
2021-07-15 14:35:00,17.2,70.0,35.2,230.0
2021-07-15 14:40:00,17.2,69.0,18.8,250.0
2021-07-15 14:45:00,17.2,69.0,22.1,250.0
2021-07-15 14:50:00,17.2,70.0,22.1,250.0
2021-07-15 14:55:00,17.2,70.0,28.1,235.0
2021-07-15 15:00:00,17.1,70.0,19.9,195.0
2021-07-15 15:05:00,17.0,70.0,23.4,220.0
2021-07-15 15:10:00,17.0,70.0,21.8,215.0
2021-07-15 15:15:00,17.0,70.0,19.1,210.0
2021-07-15 15:20:00,17.0,70.0,24.4,180.0
2021-07-15 15:25:00,17.0,70.0,23.9,220.0
2021-07-15 15:30:00,17.0,70.0,24.3,230.0
2021-07-15 15:35:00,17.0,70.0,22.8,200.0
2021-07-15 15:39:00,16.9,70.0,19.2,210.0
2021-07-15 15:45:00,16.9,70.0,21.1,200.0
2021-07-15 15:50:00,16.9,70.0,25.6,160.0
2021-07-15 15:55:00,16.9,70.0,22.5,240.0
2021-07-15 16:00:00,16.9,70.0,19.5,210.0
2021-07-15 16:05:00,16.9,70.0,27.7,255.0
2021-07-15 16:10:00,16.9,69.0,27.7,255.0
2021-07-15 16:15:00,16.9,69.0,23.1,205.0
2021-07-15 16:20:00,17.0,69.0,23.8,195.0
2021-07-15 16:25:00,17.1,68.0,24.6,240.0
2021-07-15 16:30:00,17.0,68.0,23.3,245.0
2021-07-15 16:35:00,17.0,68.0,21.8,250.0
2021-07-15 16:40:00,17.0,69.0,17.7,275.0
2021-07-15 16:44:00,17.0,69.0,21.7,245.0
2021-07-15 16:50:00,17.0,69.0,26.6,260.0
2021-07-15 16:55:00,17.0,69.0,18.5,275.0
2021-07-15 17:00:00,17.0,69.0,20.8,220.0
2021-07-15 17:05:00,17.0,69.0,20.8,220.0
2021-07-15 17:10:00,16.9,70.0,23.9,240.0
2021-07-15 17:15:00,16.9,70.0,21.4,155.0
2021-07-15 17:20:00,16.8,70.0,17.7,295.0
2021-07-15 17:25:00,16.8,70.0,27.6,255.0
2021-07-15 17:30:00,16.8,70.0,14.6,245.0
2021-07-15 17:35:00,16.8,70.0,26.9,240.0
2021-07-15 17:40:00,16.8,69.0,24.8,225.0
2021-07-15 17:45:00,16.8,69.0,27.3,220.0
2021-07-15 17:50:00,16.8,69.0,18.1,250.0
2021-07-15 17:54:00,16.8,69.0,18.6,250.0
2021-07-15 18:00:00,16.8,69.0,27.4,265.0
2021-07-15 18:05:00,16.8,70.0,25.3,250.0
2021-07-15 18:10:00,16.7,70.0,28.1,295.0
2021-07-15 18:15:00,16.7,70.0,20.7,270.0
2021-07-15 18:20:00,16.6,70.0,17.9,190.0
2021-07-15 18:25:00,16.6,70.0,17.3,225.0
2021-07-15 18:30:00,16.5,71.0,13.1,220.0
2021-07-15 18:35:00,16.5,71.0,17.3,170.0
2021-07-15 18:40:00,16.5,71.0,16.9,75.0
2021-07-15 18:45:00,16.5,70.0,19.0,80.0
2021-07-15 18:50:00,16.5,70.0,13.0,90.0
2021-07-15 18:54:00,16.4,70.0,17.9,115.0
2021-07-15 19:00:00,16.4,70.0,15.1,105.0
2021-07-15 19:05:00,16.4,70.0,13.4,80.0
2021-07-15 19:10:00,16.4,70.0,23.1,85.0
2021-07-15 19:15:00,16.4,70.0,24.6,55.0
2021-07-15 19:20:00,16.5,70.0,17.5,60.0
2021-07-15 19:25:00,16.5,69.0,24.8,115.0
2021-07-15 19:30:00,16.5,69.0,18.6,105.0
2021-07-15 19:35:00,16.5,70.0,17.5,125.0
2021-07-15 19:40:00,16.4,70.0,8.6,115.0
2021-07-15 19:45:00,16.4,70.0,9.0,70.0
2021-07-15 19:50:00,16.3,70.0,9.0,70.0
2021-07-15 19:55:00,16.2,70.0,4.0,110.0
2021-07-15 20:00:00,16.4,70.0,10.8,115.0
2021-07-15 20:04:00,16.6,68.0,21.8,230.0
2021-07-15 20:10:00,17.0,68.0,15.6,225.0
2021-07-15 20:15:00,17.1,67.0,26.4,175.0
2021-07-15 20:20:00,17.1,67.0,17.4,280.0
2021-07-15 20:25:00,17.2,66.0,19.2,285.0
2021-07-15 20:30:00,17.2,66.0,28.1,255.0
2021-07-15 20:35:00,17.3,66.0,24.3,240.0
2021-07-15 20:40:00,17.4,66.0,36.0,230.0
2021-07-15 20:45:00,17.4,65.0,32.6,285.0
2021-07-15 20:49:00,17.4,65.0,29.1,290.0
2021-07-15 20:54:00,17.4,65.0,27.3,325.0
2021-07-15 21:00:00,17.2,65.0,29.1,235.0
2021-07-15 21:05:00,17.2,65.0,20.1,215.0
2021-07-15 21:10:00,17.3,65.0,32.5,270.0
2021-07-15 21:15:00,17.4,64.0,27.3,280.0
2021-07-15 21:20:00,17.4,64.0,25.3,260.0
2021-07-15 21:25:00,17.5,64.0,25.1,320.0
2021-07-15 21:30:00,17.6,64.0,24.2,300.0
2021-07-15 21:35:00,17.5,64.0,20.7,290.0
2021-07-15 21:40:00,17.5,64.0,20.1,295.0
2021-07-15 21:45:00,17.6,64.0,20.1,295.0
2021-07-15 21:50:00,17.6,63.0,17.5,285.0
2021-07-15 21:55:00,17.6,64.0,27.6,235.0
2021-07-15 22:00:00,17.6,64.0,19.5,270.0
2021-07-15 22:04:00,17.4,64.0,12.6,285.0
2021-07-15 22:10:00,17.4,64.0,16.9,240.0
2021-07-15 22:15:00,17.4,64.0,16.1,265.0
2021-07-15 22:20:00,17.0,66.0,13.1,220.0
2021-07-15 22:25:00,16.9,67.0,13.1,220.0
2021-07-15 22:30:00,16.9,67.0,16.1,215.0
2021-07-15 22:35:00,17.0,67.0,15.6,260.0
2021-07-15 22:40:00,17.0,66.0,18.2,275.0
2021-07-15 22:45:00,17.0,66.0,19.2,285.0
2021-07-15 22:50:00,17.2,65.0,19.8,270.0
2021-07-15 22:55:00,17.3,64.0,19.1,260.0
2021-07-15 23:00:00,17.4,64.0,26.4,275.0
2021-07-15 23:05:00,17.4,64.0,23.8,245.0
2021-07-15 23:05:00,17.4,64.0,23.8,245.0
2021-07-15 23:10:00,17.5,64.0,16.6,235.0
2021-07-15 23:15:00,17.4,65.0,18.6,275.0
2021-07-15 23:20:00,17.4,65.0,24.0,220.0
2021-07-15 23:25:00,17.2,65.0,18.2,250.0
2021-07-15 23:30:00,17.3,64.0,19.5,225.0
2021-07-15 23:35:00,17.2,65.0,20.3,185.0
2021-07-15 23:40:00,16.8,67.0,18.5,180.0
2021-07-15 23:45:00,16.5,67.0,14.3,200.0
2021-07-15 23:50:00,16.4,67.0,14.7,200.0
2021-07-15 23:55:00,16.5,67.0,24.2,220.0
